target_id,callsign,timestamp,timestamp_source,time_source,message_seq,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,status_flags,validity_flags,latitude_code,longitude_code,altitude_code,speed_code,heading_code,vertical_rate_code,lat_valid,lon_valid,altitude_valid,speed_valid,heading_valid,vertical_rate_valid,callsign_valid,checksum,expected_checksum,message_valid,validation_errors,source
a48850,UPS266,1786673155,position_time,position_time,0,48.390216443590276,9.474723213845039,11887.0,barometric,241.8,152.78,0.0,False,0,127,3224725,2207540,12887,2418,15278,32768,True,True,True,True,True,True,True,2593,2593,True,,opensky_real
896175,UAE4M,1786673154,position_time,position_time,1,45.543512235525185,5.046287786075538,10973.0,barometric,256.1,109.96000000000001,0.0,False,0,127,3158392,2155945,11973,2561,10996,32768,True,True,True,True,True,True,True,2690,2690,True,,opensky_real
3849ff,M02,1786673154,position_time,position_time,2,47.58641185436531,7.531773455565798,,unknown,12.3,300.94,,True,1,91,3205995,2184903,0,123,30094,0,True,True,False,True,True,False,True,2291,2291,True,,opensky_real
407fac,TOM8VC,1786673154,position_time,position_time,3,48.91588662049452,9.040763149443421,11582.0,barometric,228.4,300.90000000000003,0.0,False,0,127,3236974,2202484,12582,2284,30090,32768,True,True,True,True,True,True,True,2767,2767,True,,opensky_real
3c815e,F172,1786673142,position_time,position_time,4,48.6853882516356,9.200494098781121,,unknown,1.3,70.31,,True,1,91,3231603,2204345,0,13,7031,0,True,True,False,True,True,False,True,2176,2176,True,,opensky_real
7c8066,QFA219,1786673154,position_time,position_time,5,49.38851341927369,11.63293639014637,12192.0,barometric,244.20000000000002,293.59000000000003,0.0,False,0,127,3247987,2232685,13192,2442,29359,32768,True,True,True,True,True,True,True,2624,2624,True,,opensky_real
45ce47,SRR6382,1786673154,position_time,position_time,6,48.558101310277294,6.299501967311386,11887.0,barometric,233.10000000000002,181.52,0.0,False,0,127,3228637,2170546,12887,2331,18152,32768,True,True,True,True,True,True,True,2666,2666,True,,opensky_real
3c5434,BCS6GA,1786673154,position_time,position_time,7,45.75439828739124,8.770739739117545,3429.0,barometric,180.10000000000002,147.72,-6.829999999999984,False,0,127,3163306,2199338,4429,1801,14772,32085,True,True,True,True,True,True,True,2345,2345,True,,opensky_real
4b5d62,VIKTOR21,1786673153,position_time,position_time,8,47.45770870630949,8.562600269937576,,unknown,2.8000000000000003,272.81,,True,1,91,3202996,2196913,0,28,27281,0,True,True,False,True,True,False,True,2564,2564,True,,opensky_real
4b5d54,GALA6,1786673154,position_time,position_time,9,47.45809494449972,8.550240647850188,,unknown,3.6,275.62,,True,1,91,3203005,2196769,0,36,27562,0,True,True,False,True,True,False,True,2204,2204,True,,opensky_real
